Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,checked_num_kernel,waiting_time_nolap,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,2048,2048,2048.0,4075520,348345088,191091174.4,163840,15287293952,1.0717282247264046e-05,0.9999892827177528,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.0004353931055501736,40.624892512327065,40.62532790543262
latnrm.c,327680,4,1,1280,1280,1280.0,4077568,348347136,191093222.4,102400,15287457792,6.698256537598855e-06,0.9999933017434623,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.0002721206909688585,40.62532790543262,40.625600026123585
fft.c,327680,1,16,225280,225280,225280.0,3407872,348798976,162977729.32780084,108584960,78555265536,0.001380366703579066,0.9986196332964209,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.28855678070337754,208.75501110252418,209.04356788322758
dtw.cpp,819200,1,16,32768,32768,32768.0,3764224,343774720,160131739.71134022,6356992,31065557504,0.00020458964640940805,0.9997954103535905,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.016893252495346737,82.5545016925907,82.57139494508604
spmv.c,819200,1,1,131072,131072,131072.0,3633152,343266816,187466752.0,4194304,5998936064,0.00069868614254289,0.9993013138574571,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.011146063502084445,15.941744402477386,15.952890465979472
conv.c,6553600,1,1,1310720,1310720,1310720.0,2097152,275901440,146783744.0,5242880,587134976,0.008850567162321476,0.9911494328376785,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.013932579377605555,1.5602692906357827,1.5742018700133884
mvt.c,204800,4,1,16384,16384,16384.0,3796992,350277632,193217836.8,10485760,123659415552,8.478829439303952e-05,0.9999152117056069,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.02786515875521111,328.61607035952585,328.64393551828107
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,303279360,157781006.62857142,73400320,5522335232,0.01311718885174365,0.9868828111482564,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.1950561112864778,14.675211709897575,14.870267821184052
relu+histogram.c,204800,2,1,262144,262144,262144.0,3813376,349966336,192677164.8,167772160,123313385472,0.0013586863228153123,0.9986413136771847,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.44584254008337776,327.6965201206039,328.14236266068724
fft.c,327680,1,16,225280,225280,225280.0,3407872,348798976,162977729.32780084,108584960,78555265536,0.001380366703579066,0.9986196332964209,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.28855678070337754,208.75501110252418,209.04356788322758
dtw.cpp,819200,1,16,32768,32768,32768.0,3764224,343774720,160131739.71134022,6356992,31065557504,0.00020458964640940805,0.9997954103535905,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.016893252495346737,82.5545016925907,82.57139494508604
fft.c,327680,1,16,225280,225280,225280.0,3407872,348798976,162977729.32780084,108584960,78555265536,0.001380366703579066,0.9986196332964209,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.28855678070337754,208.75501110252418,209.04356788322758
dtw.cpp,819200,1,16,32768,32768,32768.0,3764224,343774720,160131739.71134022,6356992,31065557504,0.00020458964640940805,0.9997954103535905,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.016893252495346737,82.5545016925907,82.57139494508604
fft.c,327680,1,16,225280,225280,225280.0,3407872,348798976,162977729.32780084,108584960,78555265536,0.001380366703579066,0.9986196332964209,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.28855678070337754,208.75501110252418,209.04356788322758
dtw.cpp,819200,1,16,32768,32768,32768.0,3764224,343774720,160131739.71134022,6356992,31065557504,0.00020458964640940805,0.9997954103535905,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.016893252495346737,82.5545016925907,82.57139494508604
fft.c,327680,1,16,225280,225280,225280.0,3407872,348798976,162977729.32780084,108584960,78555265536,0.001380366703579066,0.9986196332964209,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.28855678070337754,208.75501110252418,209.04356788322758
dtw.cpp,819200,1,16,32768,32768,32768.0,3764224,343774720,160131739.71134022,6356992,31065557504,0.00020458964640940805,0.9997954103535905,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.016893252495346737,82.5545016925907,82.57139494508604
fft.c,327680,1,16,225280,225280,225280.0,3407872,348798976,162977729.32780084,108584960,78555265536,0.001380366703579066,0.9986196332964209,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.28855678070337754,208.75501110252418,209.04356788322758
dtw.cpp,819200,1,16,32768,32768,32768.0,3764224,343774720,160131739.71134022,6356992,31065557504,0.00020458964640940805,0.9997954103535905,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.016893252495346737,82.5545016925907,82.57139494508604
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,303279360,157781006.62857142,73400320,5522335232,0.01311718885174365,0.9868828111482564,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.1950561112864778,14.675211709897575,14.870267821184052
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,303279360,157781006.62857142,73400320,5522335232,0.01311718885174365,0.9868828111482564,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.1950561112864778,14.675211709897575,14.870267821184052
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,303279360,157781006.62857142,73400320,5522335232,0.01311718885174365,0.9868828111482564,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.1950561112864778,14.675211709897575,14.870267821184052
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,303279360,157781006.62857142,73400320,5522335232,0.01311718885174365,0.9868828111482564,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.1950561112864778,14.675211709897575,14.870267821184052
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,303279360,157781006.62857142,73400320,5522335232,0.01311718885174365,0.9868828111482564,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.1950561112864778,14.675211709897575,14.870267821184052
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,303279360,157781006.62857142,73400320,5522335232,0.01311718885174365,0.9868828111482564,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.1950561112864778,14.675211709897575,14.870267821184052
fft.c,327680,1,16,225280,225280,225280.0,3407872,348798976,162977729.32780084,108584960,78555265536,0.001380366703579066,0.9986196332964209,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.28855678070337754,208.75501110252418,209.04356788322758
dtw.cpp,819200,1,16,32768,32768,32768.0,3764224,343774720,160131739.71134022,6356992,31065557504,0.00020458964640940805,0.9997954103535905,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.016893252495346737,82.5545016925907,82.57139494508604
fft.c,327680,1,16,225280,225280,225280.0,3407872,348798976,162977729.32780084,108584960,78555265536,0.001380366703579066,0.9986196332964209,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.28855678070337754,208.75501110252418,209.04356788322758
dtw.cpp,819200,1,16,32768,32768,32768.0,3764224,343774720,160131739.71134022,6356992,31065557504,0.00020458964640940805,0.9997954103535905,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.016893252495346737,82.5545016925907,82.57139494508604
relu+histogram.c,204800,2,1,262144,262144,262144.0,3813376,349966336,192677164.8,167772160,123313385472,0.0013586863228153123,0.9986413136771847,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.44584254008337776,327.6965201206039,328.14236266068724
relu+histogram.c,204800,2,1,262144,262144,262144.0,3813376,349966336,192677164.8,167772160,123313385472,0.0013586863228153123,0.9986413136771847,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.44584254008337776,327.6965201206039,328.14236266068724
relu+histogram.c,204800,2,1,262144,262144,262144.0,3813376,349966336,192677164.8,167772160,123313385472,0.0013586863228153123,0.9986413136771847,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.44584254008337776,327.6965201206039,328.14236266068724
relu+histogram.c,204800,2,1,262144,262144,262144.0,3813376,349966336,192677164.8,167772160,123313385472,0.0013586863228153123,0.9986413136771847,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.44584254008337776,327.6965201206039,328.14236266068724
mvt.c,204800,4,1,16384,16384,16384.0,3796992,350277632,193217836.8,10485760,123659415552,8.478829439303952e-05,0.9999152117056069,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.02786515875521111,328.61607035952585,328.64393551828107
mvt.c,204800,4,1,16384,16384,16384.0,3796992,350277632,193217836.8,10485760,123659415552,8.478829439303952e-05,0.9999152117056069,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.02786515875521111,328.61607035952585,328.64393551828107
mvt.c,204800,4,1,16384,16384,16384.0,3796992,350277632,193217836.8,10485760,123659415552,8.478829439303952e-05,0.9999152117056069,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.02786515875521111,328.61607035952585,328.64393551828107
mvt.c,204800,4,1,16384,16384,16384.0,3796992,350277632,193217836.8,10485760,123659415552,8.478829439303952e-05,0.9999152117056069,376303616,2334330880,1583220370.0677125,0.8965927768283789,1,376303616,0.02786515875521111,328.61607035952585,328.64393551828107
