Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,1024,1024,1024.0,1144832,32677376,17727390.476190478,21504,372275200,5.776038242874156e-05,0.9999422396175712,40015616,456707328,150261702.6851371,0.9998944412101516,0.0005373902028648016,9.303248011976125,9.30378540217899
latnrm.c,327680,4,1,1280,1280,1280.0,1145856,32678400,17728414.476190478,26880,372296704,7.219526550324569e-05,0.9999278047344967,40015616,456707328,150261702.6851371,0.9998944412101516,0.000671737753581002,9.30378540217899,9.30445713993257
fft.c,327680,1,16,112640,112640,112640.0,524288,32804608,15593596.0,14417920,1995980288,0.007171673722462848,0.9928283262775371,40015616,456707328,150261702.6851371,0.9998944412101516,0.36030733601601933,49.88003403471285,50.24034137072887
dtw.cpp,819200,1,16,12288,12288,12288.0,849920,32855552,15485389.714285715,688128,867181824,0.0007928929886490643,0.999207107011351,40015616,456707328,150261702.6851371,0.9998944412101516,0.01719648649167365,21.671085208334667,21.68828169482634
spmv.c,819200,4,1,212992,212992,212992.0,636928,32169472,17228828.444444444,1916928,155059456,0.012211569353005354,0.9877884306469946,40015616,456707328,150261702.6851371,0.9998944412101516,0.047904498083948026,3.874973610302538,3.922878108386486
conv.c,6553600,4,1,819200,819200,819200.0,524288,31911424,16217856.0,1638400,32435712,0.04808342474192724,0.9519165752580727,40015616,456707328,150261702.6851371,0.9998944412101516,0.040944015456365834,0.8105763509925725,0.8515203664489384
mvt.c,204800,4,1,20480,20480,20480.0,862208,33441536,18272732.315151516,3379200,3015000832,0.0011195409339363135,0.9988804590660637,40015616,456707328,150261702.6851371,0.9998944412101516,0.08444703187875453,75.34560587546622,75.43005290734497
gemm.c,5242880,1,16,524288,1048576,1011126.8571428572,0,27409152,14002779.42857143,14155776,196038912,0.0673460216083101,0.93265397839169,40015616,456707328,150261702.6851371,0.9998944412101516,0.3537562935430008,4.8990602068952285,5.252816500438229
relu+histogram.c,204800,4,1,262144,262144,262144.0,882688,33179392,18004715.830303032,43253760,2970778112,0.014350797150429072,0.9856492028495709,40015616,456707328,150261702.6851371,0.9998944412101516,1.080922008048058,74.24046932077717,75.32139132882523
fft.c,327680,1,16,112640,112640,112640.0,524288,32804608,15593596.0,14417920,1995980288,0.007171673722462848,0.9928283262775371,40015616,456707328,150261702.6851371,0.9998944412101516,0.36030733601601933,49.88003403471285,50.24034137072887
dtw.cpp,819200,1,16,12288,12288,12288.0,849920,32855552,15485389.714285715,688128,867181824,0.0007928929886490643,0.999207107011351,40015616,456707328,150261702.6851371,0.9998944412101516,0.01719648649167365,21.671085208334667,21.68828169482634
