Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,Overall_Execution,Sum_Average_Waiting_duration,CGRA_Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,327680,1,16,2048,2048,2048.0,0,90112,10766.952380952382,43008,226106,0.15981331331703294,0.840186686682967,7372800,852914320,210506.61602182538,0.8066074978298611,0.005833333333333334,0.030667588975694444,0.03650092230902778
latnrm.c,327680,4,1,1280,1280,1280.0,0,90112,11254.57142857143,26880,236346,0.10211757197237355,0.8978824280276264,7372800,852914320,210506.61602182538,0.8066074978298611,0.0036458333333333334,0.032056477864583335,0.03570231119791667
fft.c,327680,1,16,225280,225280,225280.0,0,230970,34248.265625,28835840,4383778,0.8680364717017517,0.13196352829824834,7372800,852914320,210506.61602182538,0.8066074978298611,3.911111111111111,0.5945879448784722,4.5056990559895835
dtw.cpp,819200,1,16,24576,24576,24576.0,0,237568,59772.982142857145,1376256,3347287,0.29136095511356624,0.7086390448864338,7372800,852914320,210506.61602182538,0.8066074978298611,0.18666666666666668,0.4540048556857639,0.6406715223524305
spmv.c,819200,4,1,212992,212992,212992.0,0,90112,10012.444444444445,1916928,90112,0.9551020408163265,0.044897959183673466,7372800,852914320,210506.61602182538,0.8066074978298611,0.26,0.012222222222222223,0.2722222222222222
conv.c,6553600,4,1,819200,819200,819200.0,0,0,0.0,1638400,0,1.0,0.0,7372800,852914320,210506.61602182538,0.8066074978298611,0.2222222222222222,0.0,0.2222222222222222
mvt.c,204800,4,1,20480,36864,28607.321212121213,0,249856,54685.2303030303,4720208,9023063,0.34345593563570126,0.6565440643642987,7372800,852914320,210506.61602182538,0.8066074978298611,0.6402191840277778,1.2238312445746529,1.8640504286024306
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,0,0.0,29360128,0,1.0,0.0,7372800,852914320,210506.61602182538,0.8066074978298611,3.982222222222222,0.0,3.982222222222222
relu+histogram.c,204800,4,1,458752,458752,458752.0,0,167936,29766.169696969697,75694080,4911418,0.9390684491521906,0.060931550847809414,7372800,852914320,210506.61602182538,0.8066074978298611,10.266666666666667,0.6661537000868055,10.932820366753472
fft.c,327680,1,16,225280,225280,225280.0,0,230970,34248.265625,28835840,4383778,0.8680364717017517,0.13196352829824834,7372800,852914320,210506.61602182538,0.8066074978298611,3.911111111111111,0.5945879448784722,4.5056990559895835
dtw.cpp,819200,1,16,24576,24576,24576.0,0,237568,59772.982142857145,1376256,3347287,0.29136095511356624,0.7086390448864338,7372800,852914320,210506.61602182538,0.8066074978298611,0.18666666666666668,0.4540048556857639,0.6406715223524305
fft.c,327680,1,16,225280,225280,225280.0,0,230970,34248.265625,28835840,4383778,0.8680364717017517,0.13196352829824834,7372800,852914320,210506.61602182538,0.8066074978298611,3.911111111111111,0.5945879448784722,4.5056990559895835
dtw.cpp,819200,1,16,24576,24576,24576.0,0,237568,59772.982142857145,1376256,3347287,0.29136095511356624,0.7086390448864338,7372800,852914320,210506.61602182538,0.8066074978298611,0.18666666666666668,0.4540048556857639,0.6406715223524305
fft.c,327680,1,16,225280,225280,225280.0,0,230970,34248.265625,28835840,4383778,0.8680364717017517,0.13196352829824834,7372800,852914320,210506.61602182538,0.8066074978298611,3.911111111111111,0.5945879448784722,4.5056990559895835
dtw.cpp,819200,1,16,24576,24576,24576.0,0,237568,59772.982142857145,1376256,3347287,0.29136095511356624,0.7086390448864338,7372800,852914320,210506.61602182538,0.8066074978298611,0.18666666666666668,0.4540048556857639,0.6406715223524305
fft.c,327680,1,16,225280,225280,225280.0,0,230970,34248.265625,28835840,4383778,0.8680364717017517,0.13196352829824834,7372800,852914320,210506.61602182538,0.8066074978298611,3.911111111111111,0.5945879448784722,4.5056990559895835
dtw.cpp,819200,1,16,24576,24576,24576.0,0,237568,59772.982142857145,1376256,3347287,0.29136095511356624,0.7086390448864338,7372800,852914320,210506.61602182538,0.8066074978298611,0.18666666666666668,0.4540048556857639,0.6406715223524305
fft.c,327680,1,16,225280,225280,225280.0,0,230970,34248.265625,28835840,4383778,0.8680364717017517,0.13196352829824834,7372800,852914320,210506.61602182538,0.8066074978298611,3.911111111111111,0.5945879448784722,4.5056990559895835
dtw.cpp,819200,1,16,24576,24576,24576.0,0,237568,59772.982142857145,1376256,3347287,0.29136095511356624,0.7086390448864338,7372800,852914320,210506.61602182538,0.8066074978298611,0.18666666666666668,0.4540048556857639,0.6406715223524305
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,0,0.0,29360128,0,1.0,0.0,7372800,852914320,210506.61602182538,0.8066074978298611,3.982222222222222,0.0,3.982222222222222
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,0,0.0,29360128,0,1.0,0.0,7372800,852914320,210506.61602182538,0.8066074978298611,3.982222222222222,0.0,3.982222222222222
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,0,0.0,29360128,0,1.0,0.0,7372800,852914320,210506.61602182538,0.8066074978298611,3.982222222222222,0.0,3.982222222222222
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,0,0.0,29360128,0,1.0,0.0,7372800,852914320,210506.61602182538,0.8066074978298611,3.982222222222222,0.0,3.982222222222222
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,0,0.0,29360128,0,1.0,0.0,7372800,852914320,210506.61602182538,0.8066074978298611,3.982222222222222,0.0,3.982222222222222
gemm.c,5242880,1,16,2097152,2097152,2097152.0,0,0,0.0,29360128,0,1.0,0.0,7372800,852914320,210506.61602182538,0.8066074978298611,3.982222222222222,0.0,3.982222222222222
fft.c,327680,1,16,225280,225280,225280.0,0,230970,34248.265625,28835840,4383778,0.8680364717017517,0.13196352829824834,7372800,852914320,210506.61602182538,0.8066074978298611,3.911111111111111,0.5945879448784722,4.5056990559895835
dtw.cpp,819200,1,16,24576,24576,24576.0,0,237568,59772.982142857145,1376256,3347287,0.29136095511356624,0.7086390448864338,7372800,852914320,210506.61602182538,0.8066074978298611,0.18666666666666668,0.4540048556857639,0.6406715223524305
fft.c,327680,1,16,225280,225280,225280.0,0,230970,34248.265625,28835840,4383778,0.8680364717017517,0.13196352829824834,7372800,852914320,210506.61602182538,0.8066074978298611,3.911111111111111,0.5945879448784722,4.5056990559895835
dtw.cpp,819200,1,16,24576,24576,24576.0,0,237568,59772.982142857145,1376256,3347287,0.29136095511356624,0.7086390448864338,7372800,852914320,210506.61602182538,0.8066074978298611,0.18666666666666668,0.4540048556857639,0.6406715223524305
relu+histogram.c,204800,4,1,458752,458752,458752.0,0,167936,29766.169696969697,75694080,4911418,0.9390684491521906,0.060931550847809414,7372800,852914320,210506.61602182538,0.8066074978298611,10.266666666666667,0.6661537000868055,10.932820366753472
relu+histogram.c,204800,4,1,458752,458752,458752.0,0,167936,29766.169696969697,75694080,4911418,0.9390684491521906,0.060931550847809414,7372800,852914320,210506.61602182538,0.8066074978298611,10.266666666666667,0.6661537000868055,10.932820366753472
relu+histogram.c,204800,4,1,458752,458752,458752.0,0,167936,29766.169696969697,75694080,4911418,0.9390684491521906,0.060931550847809414,7372800,852914320,210506.61602182538,0.8066074978298611,10.266666666666667,0.6661537000868055,10.932820366753472
relu+histogram.c,204800,4,1,458752,458752,458752.0,0,167936,29766.169696969697,75694080,4911418,0.9390684491521906,0.060931550847809414,7372800,852914320,210506.61602182538,0.8066074978298611,10.266666666666667,0.6661537000868055,10.932820366753472
mvt.c,204800,4,1,20480,36864,28607.321212121213,0,249856,54685.2303030303,4720208,9023063,0.34345593563570126,0.6565440643642987,7372800,852914320,210506.61602182538,0.8066074978298611,0.6402191840277778,1.2238312445746529,1.8640504286024306
mvt.c,204800,4,1,20480,36864,28607.321212121213,0,249856,54685.2303030303,4720208,9023063,0.34345593563570126,0.6565440643642987,7372800,852914320,210506.61602182538,0.8066074978298611,0.6402191840277778,1.2238312445746529,1.8640504286024306
mvt.c,204800,4,1,20480,36864,28607.321212121213,0,249856,54685.2303030303,4720208,9023063,0.34345593563570126,0.6565440643642987,7372800,852914320,210506.61602182538,0.8066074978298611,0.6402191840277778,1.2238312445746529,1.8640504286024306
mvt.c,204800,4,1,20480,36864,28607.321212121213,0,249856,54685.2303030303,4720208,9023063,0.34345593563570126,0.6565440643642987,7372800,852914320,210506.61602182538,0.8066074978298611,0.6402191840277778,1.2238312445746529,1.8640504286024306
